Route ID,Departure City,Arrival City,Departure Time,Arrival Time,Train Type,Days of Operation,First Class ticket rate (in euro),Second Class ticket rate (in euro)
R00003,A Coruña,Santander,12:05,14:17,RJX,Fri-Sun,115,70
R00004,A Coruña,Santander,12:50,15:54,ICE,Daily,97,69
R00007,A Coruña,Santiago de Compostela,16:50,20:08,InterCity,"Mon,Wed,Fri",95,60
R00008,A Coruña,Vigo,13:35,17:10,Frecciarossa,"Tue,Thu",141,97
R00009,A Coruña,Vigo,09:45,11:49,RJX,"Tue,Thu",118,72
R00013,Aalborg,Lund,05:50,10:11,RegioExpress,Daily,58,43
R00016,Aalborg,Malmö,08:10,11:40,EuroCity,"Mon,Wed,Fri",83,57
R00021,Aalborg,Odense,17:40,19:06,TGV,Sat-Sun,54,38
R00026,Aarhus,Copenhagen,12:45,14:42,TGV,Sat-Sun,77,54
R00033,Aarhus,Odense,14:15,16:43,Italo,Mon-Fri,99,62
R00034,Alicante,Cartagena,09:35,14:44,RE,Sat-Sun,75,60
R00035,Alicante,Cartagena,21:40,08:08 (+1d),Nightjet,Fri-Sun,364,225
R00037,Alicante,Cuenca,15:25,18:57,Intercités,Daily,103,68
R00041,Alicante,Murcia,19:35,22:12,EuroCity,Fri-Sun,61,39
R00043,Alicante,Valencia,08:35,10:25,TGV,Mon-Fri,48,33
R00044,Alicante,Valencia,14:25,15:50,Thalys,"Mon,Wed,Fri",68,41
R00046,Almería,Cartagena,15:05,16:57,RJX,"Mon,Wed,Fri",92,56
R00056,Almería,Málaga,12:15,15:03,TGV,Sat-Sun,128,79
R00060,Amiens,Calais,08:50,11:33,ICE,"Mon,Wed,Fri",114,71
R00062,Amiens,Lille,13:15,15:37,Eurostar,"Mon,Wed,Fri",88,63
R00063,Amiens,Lille,20:45,09:28 (+1d),Nightjet,Fri-Sun,343,215
R00065,Amiens,Rouen,10:50,15:39,RegioExpress,Mon-Fri,49,41
R00066,Amiens,Rouen,15:10,17:58,EuroCity,Sat-Sun,70,49
R00068,Amiens,Versailles,10:35,13:19,Frecciarossa,"Tue,Thu",101,68
R00070,Amsterdam,Berlin,11:00,16:34,RE,Fri-Sun,87,72
R00071,Amsterdam,Berlin,06:05,09:42,Frecciarossa,Sat-Sun,115,75
R00074,Amsterdam,Birmingham,13:45,15:39,Frecciarossa,"Mon,Wed,Fri",106,71
R00076,Amsterdam,Bruges,18:25,21:45,TER,"Tue,Thu",48,38
R00079,Amsterdam,Brussels,14:00,16:42,Frecciarossa,Mon-Fri,120,81
