Route ID,Departure City,Arrival City,Departure Time,Arrival Time,Train Type,Days of Operation,First Class ticket rate (in euro),Second Class ticket rate (in euro)
R00013,Aalborg,Lund,5:50,10:11,RegioExpress,Daily,58,43
R00021,Aalborg,Odense,17:40,19:06,TGV,Sat-Sun,54,38
R00026,Aarhus,Copenhagen,12:45,14:42,TGV,Sat-Sun,77,54
R00033,Aarhus,Odense,14:15,16:43,Italo,Mon-Fri,99,62
R00034,Alicante,Cartagena,9:35,14:44,RE,Sat-Sun,75,60
R00035,Alicante,Cartagena,21:40,08:08 (+1d),Nightjet,Fri-Sun,364,225
R00037,Alicante,Cuenca,15:25,18:57,Intercités,Daily,103,68
R00041,Alicante,Murcia,19:35,22:12,EuroCity,Fri-Sun,61,39
R00043,Alicante,Valencia,8:35,10:25,TGV,Mon-Fri,48,33
R00044,Alicante,Valencia,14:25,15:50,Thalys,"Mon,Wed,Fri",68,41
R00060,Amiens,Calais,8:50,11:33,ICE,"Mon,Wed,Fri",114,71
R00062,Amiens,Lille,13:15,15:37,Eurostar,"Mon,Wed,Fri",88,63
R00063,Amiens,Lille,20:45,09:28 (+1d),Nightjet,Fri-Sun,343,215
R00065,Amiens,Rouen,10:50,15:39,RegioExpress,Mon-Fri,49,41
R00066,Amiens,Rouen,15:10,17:58,EuroCity,Sat-Sun,70,49
R00068,Amiens,Versailles,10:35,13:19,Frecciarossa,"Tue,Thu",101,68
R00070,Amsterdam,Berlin,11:00,16:34,RE,Fri-Sun,87,72
R00071,Amsterdam,Berlin,6:05,9:42,Frecciarossa,Sat-Sun,115,75
R00074,Amsterdam,Birmingham,13:45,15:39,Frecciarossa,"Mon,Wed,Fri",106,71
R00076,Amsterdam,Bruges,18:25,21:45,TER,"Tue,Thu",48,38
R00079,Amsterdam,Brussels,14:00,16:42,Frecciarossa,Mon-Fri,120,81
R00080,Amsterdam,Brussels,15:35,17:41,RJX,Mon-Fri,70,50
R00082,Amsterdam,Hamburg,18:00,05:53 (+1d),Nightjet,Fri-Sun,388,251
R00086,Amsterdam,Liage,9:10,12:28,IC,"Tue,Thu",103,72
R00087,Amsterdam,Liage,21:50,08:29 (+1d),Nightjet,"Mon,Wed,Fri",438,231
R00089,Amsterdam,London,9:35,14:08,AVE,Fri-Sun,190,121
R00092,Amsterdam,Manchester,12:40,15:50,RJX,Mon-Fri,99,71
R00096,Amsterdam,Paris,15:15,19:23,EuroCity,Daily,74,54
R00099,Amsterdam,Rotterdam,13:20,15:25,AVE,"Mon,Wed,Fri",63,43
R00100,Amsterdam,Rotterdam,15:00,17:17,Frecciarossa,"Mon,Wed,Fri",98,63
R00103,Amsterdam,Utrecht,17:10,20:37,InterCity,Daily,61,43
R00104,Amsterdam,Utrecht,12:05,14:01,RJX,Fri-Sun,60,40
R00105,Ancona,Arezzo,16:45,18:48,RE,Daily,22,17
R00106,Ancona,Arezzo,12:25,15:03,RJX,"Mon,Wed,Fri",77,57
R00114,Ancona,Rimini,12:30,15:21,Intercités,Daily,63,45
R00115,Ancona,Rimini,15:20,17:14,EuroCity,Sat-Sun,62,44
R00117,Angers,Le Mans,12:05,15:36,IC,Sat-Sun,61,42
R00120,Angers,Nantes,19:20,22:31,Eurostar,"Tue,Thu",81,56
R00121,Angers,Nantes,15:45,18:02,Intercités,"Tue,Thu",54,35
R00124,Angers,Rennes,11:40,14:25,Thalys,Fri-Sun,105,65
R00125,Angers,Tours,9:30,11:46,EuroCity,"Tue,Thu",61,40
R00126,Angers,Tours,11:10,12:24,Frecciarossa,Sat-Sun,43,29
R00132,Annecy,Dijon,14:55,16:30,Railjet,Daily,74,44
R00139,Annecy,Reims,15:30,16:40,Railjet,Daily,60,42
R00145,Antwerp,Brussels,11:25,13:35,TER,Fri-Sun,26,21
R00146,Antwerp,Brussels,18:55,21:09,Frecciarossa,Sat-Sun,77,51
R00150,Antwerp,Calais,5:05,7:33,Frecciarossa,Daily,98,58
R00153,Antwerp,Ghent,18:30,02:37 (+1d),Nightjet,Daily,300,177
R00154,Antwerp,Ghent,17:40,20:45,IC,Sat-Sun,63,46
R00159,Arezzo,Florence,12:50,15:56,RE,Sat-Sun,53,40
R00162,Arezzo,Livorno,9:45,13:10,Intercités,Sat-Sun,81,51
R00163,Arezzo,Livorno,9:20,12:54,RE,Fri-Sun,46,37
R00167,Arezzo,Perugia,14:15,18:40,RE,Daily,51,40
R00169,Ashford,Lille,10:40,13:02,RE,Fri-Sun,51,40
R00170,Ashford,Lille,12:30,13:36,Italo,Mon-Fri,39,26
R00174,Ashford,London,12:00,13:37,Italo,"Tue,Thu",76,50
R00178,Ashford,Paris,11:05,13:12,InterCity,"Tue,Thu",40,27
R00182,Augsburg,Nuremberg,15:15,17:33,TGV,"Mon,Wed,Fri",81,48
R00185,Augsburg,Regensburg,18:05,21:20,Intercités,"Tue,Thu",73,55
R00186,Augsburg,Regensburg,15:25,16:46,AVE,"Tue,Thu",53,32
R00189,Augsburg,Vienna,7:20,8:34,TGV,"Tue,Thu",60,40
R00190,Avignon,Lyon,11:15,14:08,EuroCity,"Mon,Wed,Fri",88,58
R00191,Avignon,Lyon,6:10,10:12,InterCity,"Mon,Wed,Fri",83,60
R00198,Badajoz,Seville,11:15,12:23,AVE,"Tue,Thu",56,34
R00199,Barcelona,Perpignan,17:35,19:30,ICE,Mon-Fri,58,40
R00204,Barcelona,Toulouse,14:10,15:36,Eurostar,Mon-Fri,62,43
R00206,Bari,Brindisi,13:15,15:45,Eurostar,"Tue,Thu",118,70
R00207,Bari,Brindisi,11:40,12:40,AVE,Fri-Sun,50,30
R00209,Bari,Naples,8:55,11:36,InterCity,Mon-Fri,49,35
R00210,Bari,Naples,12:15,15:04,Thalys,Sat-Sun,103,68
R00211,Bari,Salerno,12:20,13:30,AVE,Sat-Sun,52,38
R00212,Bari,Salerno,15:30,19:47,Intercités,"Tue,Thu",93,67
R00214,Bari,Taranto,15:15,16:51,Eurostar,Mon-Fri,64,42
R00218,Basel,Bern,15:15,17:29,Frecciarossa,"Tue,Thu",62,42
R00223,Basel,Lausanne,19:45,22:18,TGV,Fri-Sun,100,65
R00225,Basel,Strasbourg,6:00,9:21,EuroCity,"Mon,Wed,Fri",100,66
R00236,Belgrade,Mostar,12:20,14:44,TGV,"Mon,Wed,Fri",90,54
R00240,Belgrade,Novi Sad,12:10,14:25,Frecciarossa,"Mon,Wed,Fri",71,45
R00247,Belgrade,Sofia,15:40,20:29,TER,"Tue,Thu",81,61
R00248,Belgrade,Sofia,19:05,05:30 (+1d),Nightjet,Mon-Fri,379,198
R00249,Bergamo,Brescia,10:30,12:04,RJX,Sat-Sun,68,49
